id,observed_on,quality_grade,latitude,longitude,place_town_name,place_county_name,place_state_name,scientific_name,common_name
1648319,2015-06-09,research,37.964812,-78.895016,,Nelson,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
1648581,2015-06-19,research,37.545258,-77.511206,,Richmond city,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
1649090,2015-06-19,research,37.550702,-77.516978,,Richmond city,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
1649447,2015-06-19,research,43.936795,-72.975781,Ripton,Addison,Vermont,Limenitis arthemis arthemis × astyanax,White Admiral × Red-spotted Purple
1651845,2015-06-20,research,34.2177,-94.8188,,McCurtain,Oklahoma,Limenitis arthemis astyanax,Red-spotted Purple
1658564,2015-05-22,research,38.94312,-76.696396,,Prince George's,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
1668919,2015-06-22,research,37.431958,-79.333214,,Bedford,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
1673108,2010-06-26,research,40.881655,-94.56191,,Taylor,Iowa,Limenitis arthemis astyanax,Red-spotted Purple
1676760,2015-06-23,research,43.286771,-81.794772,,Lambton,,Limenitis arthemis astyanax,Red-spotted Purple
1677692,2015-06-21,research,40.731532,-77.637162,,Mifflin,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
1695352,2015-06-25,research,37.545258,-77.510691,,Richmond city,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
1695404,2015-06-25,research,33.060676,-96.978059,,Denton,Texas,Limenitis arthemis astyanax,Red-spotted Purple
1704261,2015-06-13,research,42.653234,-73.193158,,Berkshire,Massachusetts,Limenitis arthemis astyanax,Red-spotted Purple
1706293,2015-06-06,research,30.250554,-94.178943,,Hardin,Texas,Limenitis arthemis astyanax,Red-spotted Purple
1706970,2015-06-29,research,40.2951,-78.5981,,Bedford,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
1711739,2015-06-13,research,42.653234,-73.193158,,Berkshire,Massachusetts,Limenitis arthemis astyanax,Red-spotted Purple
1716172,2015-07-02,research,32.9371033333,-96.997545,,Dallas,Texas,Limenitis arthemis astyanax,Red-spotted Purple
